,book title,ratings,avg_score,author,score,votes
3915,Great Maria,613,4.08,Cecelia Holland,"88,",1
3916,White Gardenia,"4,818",3.99,Belinda Alexandra,"88,",1
3917,"Champagne Showers (Glass Towers, #1)","1,835",3.83,Adler,"88,",1
3918,The Crush,"16,968",3.97,Sandra       Brown,"88,",1
3919,"Scars and Songs (Mad World, #3)","5,597",4.26,Christine Zolendz,"88,",1
3920,Alpha's Claim: Manlove Edition,145,3.44,Karyn White,"88,",1
3921,"Make Me (Make or Break, #1)","8,836",3.90,Amanda Heath,"88,",1
3922,"Five Miles (Gypsy Brothers, #3)","10,025",4.26,Lili St. Germain,"88,",1
3923,Pearls of Passion,149,3.54,Chantilly White,"88,",1
3924,"Crave The Night (Midnight Breed, #12)","8,603",4.28,Lara Adrian,"88,",1
3925,"Jake (The Seven Brothers of Elko, #1)",225,4.22,Raeann Blake,"88,",1
3926,That Lass O'Lowrie's,131,3.66,Frances Hodgson Burnett,"88,",1
3927,O Gato Malhado e a Andorinha Sinhá: Uma História de Amor,"5,327",3.85,Jorge Amado,"88,",1
3928,Enraptured (Demi Brothers #1),"1,832",3.92,Alannah Carbonneau,"88,",1
3929,"Secret Sauce (Secret, #6)",265,4.32,Jill Sanders,"88,",1
3930,The River Leith,"1,827",3.80,Leta Blake,"88,",1
3931,Haunted,7,3.43,Violette Paradis,"88,",1
3932,"Dark Instincts (The Phoenix Pack, #4)","19,866",4.20,Suzanne Wright,"88,",1
3933,Just Friends? (Return to the Double-C Ranch #1),151,3.95,Allison Leigh,"88,",1
3934,"Blood Song (Blood Singer, #1)","6,804",3.74,Cat Adams,"88,",1
3935,"Along the Infinite Sea (Schuyler Sisters, #3)","24,242",4.21,Beatriz Williams,"88,",1
3936,"Chosen To Die (Alvarez & Pescoli, #2)","16,058",4.18,Lisa  Jackson,"88,",1
3937,"Three, Two, One [321]","13,474",4.08,J.A. Huss,"88,",1
3938,Forever My Home (Aster Lake #1),105,4.05,Alora Kate,"88,",1
3939,"When Strangers Marry (Vallerands, #1)","9,734",3.67,Lisa Kleypas,"88,",1
3940,Carolina's Walking Tour,43,3.74,Lesley-Anne McLeod,"88,",1
3941,Who Needs Mr Willoughby?,49,3.88,Katie Oliver,"88,",1
3942,"Play On (Play On, #1)","8,008",3.97,Samantha Young,"88,",1
3943,Craving Flight,645,3.94,Tamsen Parker,"88,",1
3944,Then Came You,"48,592",3.72,Jennifer Weiner,"88,",1
3945,"Shade (The Last Riders, #6)","8,197",4.47,Jamie Begley,"88,",1
3946,Fighting Hearts (Hearts So Fine #1),avg,really,Annabeth Saryu,"88,",1
3947,Transcend (Transcend #1),"13,946",4.36,Jewel E. Ann,"88,",1
3948,"Unstoppable (Family Justice, #7)",394,4.71,Suzanne Halliday,"88,",1
3949,"Just Another Pretty Face (Hollywood Dynasty, #2)",23,3.70,Candace Schuler,"88,",1
