,book title,ratings,avg_score,author,score,votes
1377,"The Wizard's Ward (Umbria, #1)","1,062",3.69,Deborah Hale,"264,",3
1378,Ethan Frome,"138,793",3.46,Edith Wharton,"264,",3
1379,"From Blood and Ash (Blood and Ash, #1)","857,312",4.21,Jennifer L. Armentrout,"264,",3
1380,"Poison Princess (The Arcana Chronicles, #1)","44,762",4.12,Kresley Cole,"263,",6
1381,Red Riding Hood,"20,947",3.47,Sarah Blakley-Cartwright,"263,",4
1382,"Dom Academy: 1st Semester (Dom Wars, #7) (White Knight Dom Academy, #1)",434,4.40,Lucian Bane,"263,",3
1383,"#Nerd (Hashtag, #1)","20,933",3.98,Cambria Hebert,"263,",3
1384,"Tears of the Broken (Dark Secrets, #0)","2,223",4.04,Angela M. Hudson,"262,",3
1385,"Passion Unleashed (Demonica, #3)","36,355",4.28,Larissa Ione,"262,",4
1386,"After (After, #1)","374,803",3.72,Anna Todd,"262,",4
1387,"Heartstopper: Volume Three (Heartstopper, #3)","499,597",4.54,Alice Oseman,"262,",3
1388,Blindsided (With the Band Book 1),"1,801",3.52,Sayer Adams,"261,",4
1389,"Knight & Play (Knight, #1)","27,043",4.02,Kitty French,"260,",3
1390,"The Cruel Prince (The Folk of the Air, #1)","1,750,060",4.01,Holly Black,"260,",3
1391,"Windows (Italian Knights, #1)","1,325",4.01,Billy London,"259,",3
1392,"Sam's Creed (Hell's Eight, #2)","3,095",4.02,Sarah McCarty,"259,",3
1393,"Effortless (Thoughtless, #2)","116,588",4.34,S.C. Stephens,"259,",4
1394,"When Fate Dictates (Highland Secrets, #1)",173,3.49,Elizabeth   Marshall,"258,",3
1395,The Chocolate Touch  (Amour et Chocolat #4),"2,205",3.98,Laura Florand,"258,",3
1396,Undeniably You,"10,340",4.23,Jewel E. Ann,"258,",4
1397,Death Angel,"10,878",3.82,Linda Howard,"257,",5
1398,"Love Hacked (Knitting in the City, #3)","28,369",4.10,Penny Reid,"257,",4
1399,"Knight's Mistress (All or Nothing, #1)","7,627",3.90,C.C. Gibbs,"257,",3
1400,Blackmoore,"35,043",4.18,Julianne Donaldson,"257,",3
1401,"A Perfect Storm (Men Who Walk the Edge of Honor, #4)","9,622",4.22,Lori Foster,"256,",3
1402,"Up to Me (The Bad Boys, #2)","33,577",4.11,M. Leighton,"256,",5
1403,Waiting Fate,188,3.61,W.B. Kinnette,"256,",3
1404,"Embrace (The Violet Eden Chapters, #1)",avg,really,Jessica Shirvington,"255,",4
1405,The Boots My Mother Gave Me,"1,369",3.98,Brooklyn James,"255,",3
1406,"The Chocolate Kiss (Amour et Chocolat, #2)","2,801",3.86,Laura Florand,"255,",3
1407,"Be with Me (Wait for You, #2)","54,547",4.08,J. Lynn,"255,",3
1408,"How to Marry a Marquis (Agents of the Crown, #2)","27,032",4.04,Julia Quinn,"254,",5
1409,"Fated (Dark Protectors, #1)","16,875",3.92,Rebecca Zanetti,"254,",3
1410,"Feral Sins (The Phoenix Pack, #1)","64,565",3.97,Suzanne Wright,"253,",3
1411,The Raging Quiet,"5,005",4.25,Sherryl Jordan,"252,",3
1412,"Taunting Krell (Cyborg Seduction, #7)","6,973",4.25,Laurann Dohner,"252,",3
1413,Three Wishes,"13,439",4.11,Kristen Ashley,"252,",4
1414,"The Proposition (The Proposition, #1)","51,183",4.01,Katie Ashley,"252,",5
1415,"Say No To Joe? (Winston Brothers #5) (Visitation, North Carolina, #1)","6,119",4.14,Lori Foster,"252,",3
1416,"Daughter of the Pirate King (Daughter of the Pirate King, #1)","241,553",3.93,Tricia Levenseller,"252,",3
1417,"The Last Hellion (Scoundrels, #4)",avg,really,Loretta Chase,"251,",4
1418,"The Sherbrooke Bride (Brides, #1)","7,213",3.94,Catherine Coulter,"250,",3
1419,"Defiant (MacKinnon's Rangers, #3)","3,629",4.32,Pamela Clare,"249,",3
1420,"Hunted (Dark Protectors, #3)","8,943",4.25,Rebecca Zanetti,"248,",3
1421,"Smokeless Fire (Fire Spirits, #1)","7,923",3.89,Samantha Young,"248,",3
1422,"Agnes and the Hitman (The Organization, #0)","22,208",3.98,Jennifer Crusie,"248,",5
1423,Ghosted,"51,482",3.99,J.M. Darhower,"248,",4
1424,"Across the Universe (Across the Universe, #1)","119,399",3.77,Beth Revis,"247,",3
1425,"Fruits Basket, Vol. 1","210,743",4.29,Natsuki Takaya,"247,",3
1426,"A Hidden Fire (Elemental Mysteries, #1)","28,171",4.04,Elizabeth   Hunter,"247,",3
1427,"This Duchess of Mine (Desperate Duchesses, #5)","9,086",3.88,Eloisa James,"246,",5
1428,"Touched (Touched, #1)","7,891",3.81,Elisa S. Amore,"246,",3
1429,Alphabet Weekends,"6,600",3.59,Elizabeth Noble,"246,",3
1430,Surprise Me,"58,300",3.43,Sophie Kinsella,"246,",3
1431,"Flowers in the Attic (Dollanganger, #1)","239,345",3.85,V.C. Andrews,"245,",3
1432,"Echoes at Dawn (KGI, #5)","16,131",4.25,Maya Banks,"244,",3
1433,"Amour Amour (Aerial Ethereal, #1)","10,839",4.21,Krista Ritchie,"244,",3
1434,"Comanche Heart (Comanche, #2)","4,641",4.04,Catherine Anderson,"244,",3
1435,It's All Relative,"2,705",3.69,S.C. Stephens,"243,",3
1436,"Rough Ride (Riding With Honor, #1)","1,322",3.80,Rebecca M. Avery,"243,",4
1437,"Torment (Fallen, #2)","245,428",3.84,Lauren Kate,"243,",3
1438,"Propositioning Mr. Raine (Riding the Raines, #1)","3,361",4.03,Laurann Dohner,"242,",4
1439,The Liar,"53,143",4.08,Nora Roberts,"242,",4
1440,The Flatshare,"460,003",3.98,Beth O'Leary,"242,",3
1441,American Love Songs,"3,095",3.96,Ashlyn Kane,"241,",3
1442,"Making You Mine (The Moreno Brothers, #5)","9,782",4.19,Elizabeth Reyes,"241,",3
1443,"Megan's Mark (Breeds, #6)","12,751",4.11,Lora Leigh,"241,",3
1444,"Fate and Fury (The Grey Wolves, #6)","11,510",4.48,Quinn Loftis,"241,",3
1445,"The Little Lady Agency (The Little Lady Agency, #1)","27,863",3.76,Hester Browne,"241,",3
1446,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)","426,211",4.01,Jenny Han,"241,",3
1447,The Invisible Life of Addie LaRue,"1,524,593",4.16,V.E. Schwab,"241,",3
1448,"Haunting Adeline (Cat and Mouse, #1)","895,995",3.94,H.D. Carlton,"241,",3
1449,A Place to Call Home,"3,194",4.06,Deborah  Smith,"240,",5
1450,"The Contract (The Contract, #1)","43,073",3.88,Melanie Moreland,"240,",3
1451,"Sold to the Highest Bidder (Second Chances, #4)","1,018",3.56,Donna Alward,"238,",3
1452,"Damaged (Damaged, #1)","31,064",3.92,H.M. Ward,"238,",5
1453,"Archangel's Blade (Guild Hunter, #4)","35,216",4.24,Nalini Singh,"237,",4
1454,"Nightshade (Nightshade, #1; Nightshade World, #4)","84,583",4.01,Andrea Cremer,"237,",3
1455,"Any Duchess Will Do (Spindle Cove, #4)","29,851",4.03,Tessa Dare,"237,",4
1456,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)","101,108",3.86,Nicholas Sparks,"237,",4
1457,"The Shadows Between Us (The Stathos Sisters, #1)","218,282",3.81,Tricia Levenseller,"237,",3
1458,"Hunting Adeline (Cat and Mouse, #2)","607,527",4.07,H.D. Carlton,"237,",3
1459,"Raine on Me (Riding the Raines, #2)","2,607",3.98,Laurann Dohner,"236,",3
1460,"The Edge of Desire (Bastion Club, #7)","4,575",4.05,Stephanie Laurens,"236,",4
1461,"Sepulchre (Languedoc, #2)","22,678",3.80,Kate Mosse,"236,",3
1462,Thanks for the Memories,"45,736",3.70,Cecelia Ahern,"236,",3
1463,"Left Drowning (Left Drowning, #1)","25,598",4.11,Jessica Park,"235,",3
1464,"The Hurricane (The Hurricane, #1)","15,795",4.04,R.J. Prescott,"235,",3
1465,"The King (Black Dagger Brotherhood, #12)","57,861",4.37,J.R. Ward,"235,",4
1466,"Golden Trail (The 'Burg, #3)","21,665",4.31,Kristen Ashley,"234,",3
1467,"Evermore (The Immortals, #1)","298,903",3.60,Alyson Noel,"234,",3
1468,"Belong to Me (Wicked Lovers, #5)","14,229",4.23,Shayla Black,"232,",3
1469,Grayson,"2,669",3.99,Lisa Eugene,"232,",3
1470,"Brightest Kind of Darkness (Brightest Kind of Darkness, #1)","7,074",3.91,P.T. Michelle,"231,",4
1471,A Lover's Lament,"6,501",4.29,K.L. Grayson,"231,",4
1472,"Queen of Shadows (Throne of Glass, #4)","1,425,856",4.62,Sarah J. Maas,"231,",3
1473,"Young Love Murder (Young Assassins, #1)","3,345",3.84,April Brookshire,"230,",3
1474,"My Lord and Spymaster (Spymasters, #2)","3,001",3.89,Joanna Bourne,"230,",3
1475,"The Perfect Game (The Perfect Game, #1)","58,805",3.93,J. Sterling,"230,",4
1476,"The Silent Waters (Elements, #3)","40,777",4.27,Brittainy C. Cherry,"230,",4
1477,The Real,"9,005",4.08,Kate  Stewart,"230,",3
1478,"More Than This (More Than, #1)","36,962",4.08,Jay McLean,"229,",3
1479,"Animal Attraction (Animal Magnetism, #2)","11,886",4.12,Jill Shalvis,"228,",3
1480,"The Magpie Lord (A Charm of Magpies, #1)","24,844",4.03,K.J. Charles,"228,",3
1481,"The Pursuit (Sherring Cross, #3)","5,349",3.77,Johanna Lindsey,"227,",3
1482,What Price Paradise,"9,533",3.91,Katherine Allred,"227,",3
1483,Butterfly Tattoo,"1,201",3.94,Deidre Knight,"226,",3
1484,"Killjoy (Buchanan-Renard, #3)","17,406",4.07,Julie Garwood,"226,",3
1485,99 Percent Mine,"91,209",3.34,Sally  Thorne,"226,",3
1486,"Ignite Me (Shatter Me, #3)","679,969",4.45,Tahereh Mafi,"225,",3
1487,"The Darkest Fire (Lords of the Underworld, #0.5)","16,161",3.89,Gena Showalter,"224,",5
1488,"The Darkest Pleasure (Lords of the Underworld, #3)","48,441",4.26,Gena Showalter,"224,",5
1489,"Surrender to Me (Wicked Lovers, #4)","12,267",4.15,Shayla Black,"224,",3
1490,"Gus (Bright Side, #2)","20,487",4.36,Kim    Holden,"224,",3
1491,Love and Other Words,"820,100",4.21,Christina Lauren,"224,",3
1492,Two-Way Street,"45,641",3.78,Lauren Barnholdt,"223,",3
1493,"Switched (Trylle, #1)","102,884",3.87,Amanda Hocking,"223,",5
1494,"The Deepest Cut (MacKinnon Curse, #1)","7,740",3.99,J.A. Templeton,"222,",4
1495,"Born of Silence (The League, #5)","12,187",4.49,Sherrilyn Kenyon,"221,",3
1496,Wait for Me (Against All Odds #2),"17,922",3.97,Elisabeth Naughton,"221,",3
1497,My Name Is Memory,"34,672",3.72,Ann Brashares,"221,",3
1498,"Slow Ride (Riding With Honor, #2)",737,4.05,Rebecca M. Avery,"221,",3
1499,Playing the Game,587,3.71,J.L. Paul,"220,",3
1500,"Idol (VIP, #1)","41,568",3.94,Kristen Callihan,"220,",3
1501,Juliet,"28,466",3.92,Anne Fortier,"220,",3
1502,Simply Love (Simply Quartet #2),"9,113",3.98,Mary Balogh,"219,",4
1503,Flipped,avg,really,Wendelin Van Draanen,"219,",3
1504,"Slow Burn (Lost Kings MC, #1)","12,187",3.96,Autumn Jones Lake,"219,",3
1505,"Change of Heart (Change of Heart, #1)","9,754",3.88,Mary Calmes,"218,",3
1506,"Pleasures of a Notorious Gentleman (London's Greatest Lovers, #2)","4,108",3.84,Lorraine Heath,"218,",3
1507,"Serpent & Dove (Serpent & Dove, #1)","346,367",3.97,Shelby Mahurin,"218,",3
1508,"Claimed (Dark Protectors, #2)","11,332",4.20,Rebecca Zanetti,"217,",3
1509,"Coyote's Mate (Breeds, #13)","11,979",4.28,Lora Leigh,"217,",4
1510,"The Night Is Mine (The Night Stalkers, #1)","2,297",4.06,M.L. Buchman,"217,",3
1511,A Midsummer Night’s Dream,"580,584",3.94,William Shakespeare,"216,",3
1512,"Where She Went (If I Stay, #2)","305,815",3.97,Gayle Forman,"216,",3
1513,All I Ever Wanted,"16,634",3.97,Kristan Higgins,"215,",3
1514,Daddy-Long-Legs,"76,016",4.13,Jean Webster,"215,",3
1515,"Raw (RAW Family, #1)","43,292",4.11,Belle Aurora,"215,",3
1516,"First Grave on the Right (Charley Davidson, #1)","92,093",4.02,Darynda Jones,"215,",4
1517,"Hot Ticket (Sinners on Tour, #3)","25,992",4.23,Olivia Cunning,"214,",4
1518,"Demon (The Fallen, #2)","2,382",3.94,Kristina Douglas,"213,",3
1519,"I Love You to Death (I Love You, #1)","4,967",3.90,Natalie Ward,"213,",3
1520,"Frigid (Frigid, #1)","57,664",3.65,J. Lynn,"212,",5
1521,"A Midnight Dance (Fiery Tales, #1)","1,406",3.85,Lila DiPasqua,"211,",3
1522,"Kiss of the Night (Dark-Hunter, #4)","45,511",4.22,Sherrilyn Kenyon,"211,",5
1523,The Collector,avg,really,Nora Roberts,"211,",3
1524,"Bonds of Justice (Psy-Changeling, #8)","24,823",4.05,Nalini Singh,"210,",4
1525,Mists of the Serengeti,"5,559",4.44,Leylah Attar,"210,",3
1526,"Frisco's Kid (Tall, Dark & Dangerous #3)","4,556",3.96,Suzanne Brockmann,"209,",5
1527,"Heaven and Hell (Heaven and Hell, #1)","21,575",4.28,Kristen Ashley,"209,",5
1528,"Sins & Needles (The Artists Trilogy, #1)","22,775",3.93,Karina Halle,"209,",3
1529,"The Shadow and the Star (Victorian Hearts, #2)","3,993",3.98,Laura Kinsale,"209,",3
1530,Mackenzies Bundle: Mackenzie's Mountain / Mackenzie's Mission / Mackenzie's Pleasure / A Game of Chance,407,4.53,Linda Howard,"209,",4
1531,"Master of Desire (Brotherhood of the Sword, #1)","8,597",3.99,Kinley MacGregor,"209,",3
1532,"Blaze of Memory (Psy-Changeling, #7)","25,528",3.96,Nalini Singh,"208,",4
1533,Simply Sexy,851,3.81,Linda Francis Lee,"208,",3
1534,Seven Years to Sin,"21,439",3.87,Sylvia Day,"208,",3
1535,"Painted Faces (Painted Faces, #1)","9,117",4.15,L.H. Cosway,"208,",3
1536,"Lady Isabella's Scandalous Marriage (Mackenzies & McBrides, #2)","19,127",3.91,Jennifer Ashley,"207,",7
1537,"For You (The 'Burg, #1)","30,676",4.19,Kristen Ashley,"207,",3
1538,Give Me Tonight,"1,425",3.73,Lisa Kleypas,"206,",3
1539,"The Fairy Godmother (Five Hundred Kingdoms, #1)","19,476",3.99,Mercedes Lackey,"206,",3
1540,"Rowdy (Marked Men, #5)","24,144",4.16,Jay Crownover,"206,",3
1541,Sinfully Sexy,"1,054",3.78,Linda Francis Lee,"205,",3
1542,"First Bitten (Alexandra Jones, #1)","3,787",3.82,Samantha Towle,"205,",3
1543,"Crystal Cove (Friday Harbor, #4)","10,204",3.55,Lisa Kleypas,"205,",4
1544,And One Last Thing ...,"8,203",4.05,Molly Harper,"204,",4
1545,"Somewhere I'll Find You (Capitol Theatre, #1)","13,917",3.72,Lisa Kleypas,"203,",5
1546,"Puddle Jumping (Puddle Jumping, #1)","12,480",4.26,Amber L.  Johnson,"203,",3
1547,"The Power of Six (Lorien Legacies, #2)","142,844",4.14,Pittacus Lore,"202,",3
1548,"The Art of Seducing a Naked Werewolf (Naked Werewolf, #2)","10,278",4.02,Molly Harper,"202,",3
1549,"Inhibitions (UnInhibited, #1)","2,308",3.99,Kimberly Bracco,"202,",3
1550,"His Purrfect Mate (Mating Heat, #2)","10,585",4.10,Laurann Dohner,"201,",3
1551,The Master's Violin,109,4.17,Myrtle Reed,"200,",2
1552,Once Upon a Pirate,62,4.13,Nancy Block,"200,",3
1553,The Hunters' Bloodline Series (Book 1),5,4.80,Maria Bunda,"200,",2
1554,"Born of the Night (The League, #1)","28,403",4.18,Sherrilyn Kenyon,"200,",4
1555,Deathless,"22,947",3.93,Catherynne M. Valente,"200,",2
1556,"Shattered (Shattered Hearts, #1)",250,4.11,Nicole  Banks,"200,",2
1557,"Feudlings (Fate on Fire, #1)","3,079",3.94,Wendy  Knight,"200,",2
1558,"God, Save the Pirate",21,3.19,Ria Warrick,"200,",2
1559,"Unspoken (Unspoken, #1)",24,4.25,Jesi Lee,"200,",2
1560,Searching for Tomorrow (Tomorrows #1),315,4.19,Kathryn McNeill Crane,"200,",2
1561,Essence (Eve #1),339,4.03,A.L. Waddington,"200,",2
1562,A Deal With God: The Power of One,84,3.99,Michael Haden,"200,",2
1563,"Phantom Wolf (Phantom Wolf, #1)","1,972",3.54,Kia Carrington-Russell,"200,",2
1564,The Particular Appeal of Gillian Pugsley,74,3.76,Susan Ornbratt,"200,",2
1565,"Sex, Lies and Litigation (Lawyers and Shoes, #1)",58,3.48,Tyne O'Connell,"200,",2
1566,"Persistent (Garden Falls, #1)",32,4.16,Allie  Kincheloe,"200,",2
1567,"Abuse (Abuse, #1)","1,098",4.06,Nikki Sex,"200,",2
1568,Find Me I'm Yours,94,3.55,Hillary Carlip,"200,",2
1569,The Other Woman,313,4.06,Eve Rabi,"200,",2
1570,"September Sky (American Journey, #1)",960,4.14,John A. Heldt,"200,",2
1571,"Finding Stone (Stone Brothers, #1)",866,3.81,T. Saint John,"200,",2
1572,Red,45,4.49,Belinda Missen,"200,",2
1573,Tyed,"17,658",3.91,L.J. Shen,"200,",2
1574,Cara's Twelve,"1,373",3.97,Chantel Seabrook,"200,",2
1575,Moondance: Book one,54,3.83,Desiree  King,"200,",2
1576,"Complicate Me (The Good Ol' Boys, #1)","10,951",4.01,M.  Robinson,"200,",2
1577,Spin the Love,17,4.18,Lisa Terry,"200,",2
1578,"When Fall Fades (The Girl Next Door, #1)",186,4.19,Amy Leigh Simpson,"200,",2
1579,Nautical Miles,32,3.81,N.L. LaFoille,"200,",2
1580,"Linger (Masked Emotions, #1)",192,3.79,V.E. Campudoni,"200,",2
1581,Jane,23,4.13,Penelope C. Bell,"200,",2
1582,Mistakes of My Past,avg,really,Emily     James,"200,",2
1583,"How to Walk like a Man (Howl at the Moon, #2)","4,316",4.16,Eli Easton,"200,",2
1584,Love from Mars,14,3.50,J.P. Cawood,"200,",2
1585,The Man in Blue (Claudia Belle #1-2),14,4.79,C.S. Luis,"200,",2
1586,Single-Minded,352,3.53,Lisa Daily,"200,",2
1587,Mrs. Chartwell and the Cat Burglar (A Russo Romantic Mystery #1),38,4.61,Pamela Gossiaux,"200,",2
1588,A Sense of Belonging,"1,723",3.86,Laura Branchflower,"200,",2
1589,The Hope of Azure Springs,"3,034",4.33,Rachel Fordham,"200,",2
1590,Black Ink Heart,210,4.24,Laurinda Lawrence,"200,",2
1591,The Forever In Between,70,4.23,Bella Jean,"200,",2
1592,Illuminati - The Book of Life,49,4.80,Elizabeth Alsobrooks,"200,",2
1593,Thank You Elvis,138,3.62,J.K.  Jones,"200,",2
1594,"From Maid to Duchess (A Fairytale Retelling, #1)",84,4.04,Regina James,"200,",2
1595,"Unforsaken (The Fallen Guardians, #1)",188,4.28,Cassie Laelyn,"200,",2
1596,Traces of My Love: The Secrets of Heart,37,4.97,C.L Ross,"200,",2
1597,Dirty Cooking,22,4.18,Carley Mercedes,"200,",2
1598,Out Of Nowhere,19,4.11,Claire Whitmore,"200,",2
1599,"Olivia And Jai (Olivia and Jai, #1)","1,342",4.14,Rebecca Ryman,"200,",2
1600,"Just One Kiss (Harbor Pointe, #3)","1,385",4.38,Courtney Walsh,"200,",2
1601,"Monogamy Book One. Lover (Monogamy, #1)",75,4.07,Victoria Sobolev,"200,",2
1602,PRIMUS: The Beginning of the First World,10,3.90,Patrícia  Fonseca,"200,",2
1603,"The Bachelor Bargain (Secrets, Scandals, and Spies, #1)",999,4.04,Maddison Michaels,"200,",2
1604,Beyond the Moon,"3,661",4.17,Catherine    Taylor,"200,",2
1605,Sinful Love (Sinful #3),194,3.72,Sanjana Nidhi,"200,",2
1606,She's Different,avg,it,Mikayla Saunders,"200,",2
1607,Manacled,"160,509",4.62,SenLinYu,"200,",2
1608,"You, with a View","75,074",4.05,Jessica  Joyce,"200,",2
1609,"The Little Shop of Grand Curiosities (Tales from the Faraway North, #1)",880,4.07,Iris Lake,"200,",2
1610,"Rules for Ruin (The Crinoline Academy, #1)",avg,really,Mimi Matthews,"200,",2
1611,Midnight's Atonement (The Cynn Cruor Bloodline #3),63,4.44,Isobelle Cate,"200,",2
1612,Morrow's Con: Opening Gambit (Morrow's Con Stories Book 1),127,4.69,Earl  James,"200,",2
1613,Letters from Home,"5,184",3.93,Kristina McMorris,"199,",2
1614,"The Wiccan Diaries (The Wiccan Diaries, #1)",130,3.79,T.D. McMichael,"199,",2
1615,"Revealing Eden (Save the Pearls, #1)",avg,it,Victoria Foyt,"199,",2
1616,"Fate (Sacrifice, #1)",169,3.70,A.C. Heller,"199,",2
1617,"Insufferable Proximity (Insufferable Proximity, #1)","3,515",3.92,Z. Stefani,"199,",2
1618,"Crushed (Rushed, #2)",174,4.01,Gina Robinson,"199,",2
1619,"Western The Series (Western Romance, #1)",8,3.62,Juliet Sassy,"199,",2
1620,"Be My Hero (Forbidden Men, #3)","13,698",4.25,Linda Kage,"199,",3
1621,Vintage Dreams,22,4.41,Jannie Lund,"199,",2
1622,From Winter's Ashes (The Girl Next Door #2),148,4.29,Amy Leigh Simpson,"199,",2
1623,"Purr, Kitten!",532,3.75,Kristel Juurik,"199,",2
1624,Reginald Bones 1 (Reginald Bones #1),515,4.34,Lucian Bane,"199,",2
1625,"More Than Miles (Lost Kings MC, #6)","3,633",4.31,Autumn Jones Lake,"199,",2
1626,"Yours Truly, Thomas","1,705",4.12,Rachel Fordham,"199,",2
1627,Netherfield Must Go,29,3.79,Nikki Payne,"199,",2
1628,THE ONE THAT I LET GO,5,4.20,Jeanne Durana,"199,",2
1629,The Eyes of Black: An Elemental Romance,20,3.60,Abby McCormick,"199,",2
1630,Grave Refrain,385,3.84,Sarah M. Glover,"198,",2
1631,"Mine to Take (Matrix of Destiny, #3)","2,981",4.08,Dara Joy,"198,",3
1632,How to Kill a Rock Star,"15,768",4.07,Tiffanie DeBartolo,"198,",2
1633,"Mirage Beyond Flames (Coriola, #1)",28,4.32,Melinda De Ross,"198,",2
1634,Reckless Endangerment,292,4.05,Amber Lea Easton,"198,",2
1635,"Guitar Face (Guitar Face, #1)",649,4.28,Sasha Marshall,"198,",2
1636,The Mirror (Northwest Passage #5),848,4.06,John A. Heldt,"198,",2
1637,The Harem,52,4.23,Thomas Sweeney,"198,",2
1638,The Billionaire Rancher's Bargain for A Bride,7,4.43,J.J.  Fox,"198,",2
1639,"Blame it on the Kiss (Kisses in the Sand, #2)",370,4.20,Robin Bielman,"198,",2
1640,"Wet: Part One (Wet Part, #1)",83,4.08,S. Jackson Rivera,"198,",2
1641,The Republic of Love,"2,973",3.74,Carol Shields,"198,",2
1642,"Crave Me (The Good Ol' Boys, #4)","5,420",4.16,M.  Robinson,"198,",2
1643,"Finding You (Destination Love, #3)","1,834",4.11,Jo Watson,"198,",2
1644,Never Letting Go,44,4.34,Roxy Love,"198,",2
1645,Despite the Devil,28,4.18,Shawna  James,"198,",2
1646,"The Raven's Call (Emerald Raven Series, #1)",52,3.90,Rose Walken,"198,",2
1647,"Better Than the Movies (Better Than the Movies, #1)","786,933",4.25,Lynn Painter,"198,",2
1648,The Chance Encounter,avg,it,Mikayla Saunders,"198,",2
1649,"A Seditious Affair (Society of Gentlemen, #2)","6,155",4.28,K.J. Charles,"198,",2
1650,Ice in My Veins,286,3.85,Kelli Sullivan,"197,",2
1651,"Noble Cause (Military Heroes Through History, #1)",886,4.16,Jessica           James,"197,",2
1652,The Road to London,40,3.92,Adriano Bulla,"197,",2
1653,Room 1208,163,4.09,Sophia Renny,"197,",2
1654,Cowboy Romance: My Billionaire Rancher (Free Romance Story Included),7,3.86,J.J. Fox,"197,",2
1655,Bold Seduction (The Hornsby Brothers #1),435,3.91,Karyn Gerrard,"197,",2
1656,Her Lover's Face,69,4.43,Patricia  Elliott,"197,",2
1657,A Life Once Dreamed,"1,386",4.14,Rachel Fordham,"197,",2
1658,Irresistible (Buchanans #2),"8,329",4.05,Susan Mallery,"196,",4
1659,"Charming the Prince (Once Upon a Time, #1)","6,641",3.91,Teresa Medeiros,"196,",4
1660,"Wicked Wonderland (Wicked Elementals, #1)",194,3.70,Lisa Whitefern,"196,",2
1661,"Changing the Game (Play by Play, #2)","22,416",4.09,Jaci Burton,"196,",4
1662,"The Reluctant Dom (Suncoast Society, #4)","9,521",4.17,Tymber Dalton,"196,",4
1663,Girl Next Door,60,3.70,Max Cummings,"196,",2
1664,"Liliana (Liliana, #1)",113,3.95,Neva Squires-Rodriguez,"196,",2
1665,The Fire (Northwest Passage #4),"1,339",4.11,John A. Heldt,"196,",2
1666,"Cress (The Lunar Chronicles, #3)","405,757",4.40,Marissa Meyer,"196,",3
1667,White Star,10,4.40,Lisa Terry,"196,",2
1668,Tricolor,15,4.07,Lisa Terry,"196,",2
1669,"Cuts Like An Angel Book 1 (Cuts Like an Angel, #1)",341,4.49,Mason Sabre,"196,",2
1670,Mermaid in a Bowl of Tears,706,4.52,Cindy Brandner,"196,",2
1671,"Take a Hint, Dani Brown (The Brown Sisters, #2)","110,860",3.99,Talia Hibbert,"196,",2
1672,Once Upon a Curse for True Love,avg,it,Camilla Isley,"196,",2
1673,"The Shadow Reader (Shadow Reader, #1)","9,965",3.75,Sandy Williams,"195,",2
1674,"Secrets by the River (The Ties that Bind, #2)",29,4.93,Terri  Marie,"195,",2
1675,"Impulsion (Station 32, #1)",460,4.05,Jamie Magee,"195,",2
1676,"Roses (Roses, #2)","18,423",4.09,Leila Meacham,"195,",2
1677,Perfect Plans,473,4.11,C.J. Wells,"195,",2
1678,Second Chance Summer,"56,054",4.11,Morgan Matson,"195,",3
1679,This Season... Have Love/Have Faith,187,4.30,Tamara Philip,"195,",2
1680,"Ruthless (Mob Boss, #1)","5,857",3.88,Michelle St. James,"195,",2
1681,The Caretaker,12,4.25,Carol Schoenig,"195,",2
1682,Beholden (The Fairest Maidens #1),"1,024",4.27,Jody Hedlund,"195,",2
1683,The Lover of The Opera,6,4.50,S.M. Harlow,"195,",2
1684,"Dream Me Home: A Story of Betrayal, Infidelity and Love",20,4.05,Laurie Elizabeth Murphy,"195,",2
1685,Sweet Lullaby,"2,224",3.92,Lorraine Heath,"194,",3
1686,"Come the Spring (Rose, #5)","9,609",4.02,Julie Garwood,"194,",3
1687,Explosion in Paris,"2,329",3.60,Linda Masemore Pirrung,"194,",2
1688,Love the One You're With,"193,618",3.76,Emily Giffin,"194,",2
1689,Wandering Feelings,100,4.59,Boyko Ovcharov,"194,",2
1690,The Gold Mine,30,4.13,Max Cummings,"194,",2
1691,"Rydin' the Storm Out (Rolling Thunder, #2)",428,4.30,P.J. Fiala,"194,",2
1692,The Show  (Northwest Passage #3),"1,021",4.03,John A. Heldt,"194,",2
1693,"Fix Her Up (Hot & Hammered, #1)","185,708",3.59,Tessa Bailey,"194,",2
1694,"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)","243,899",3.52,Stephenie Meyer,"194,",2
1695,"England's Perfect Hero (Lessons in Love, #3)","7,641",4.07,Suzanne Enoch,"193,",2
1696,"Paper Princess (The Royals, #1)","169,924",3.91,Erin Watt,"193,",3
1697,"Tracker's Sin (Hell's Eight, #4)","2,343",4.05,Sarah McCarty,"193,",3
1698,"The Unwanted Wife (Unwanted, #1)","57,637",3.76,Natasha Anders,"193,",3
1699,Patrick (Risking Love #1).,56,4.09,Callie Carmen,"193,",2
1700,Not You Again!,12,4.42,Patricia  Elliott,"193,",2
1701,"The Secret Lives of Country Gentlemen (The Doomsday Books, #1)","14,487",4.09,K.J. Charles,"193,",2
1702,It's Complicated,"8,303",3.81,Camilla Isley,"193,",2
1703,"The Journey (Northwest Passage, #2)","1,513",4.09,John A. Heldt,"192,",2
1704,"The Call to Serve (The Serve, #1)",419,4.26,Cece Whittaker,"192,",2
